listing_id,brand,model,year,price_inr,transmission,mileage_km,fuel_type,city,car_age,mileage_per_year,price_per_km,price_vs_model_median_pct,source_url,condition_grade,days_on_market,recon_cost_est,acquisition_cost,holding_cost_per_day,expected_resale_price
DW-007566,Maruti Suzuki,XL6,2022,943579.0,Manual,41837.0,Petrol,Gurgaon,5,8367.0,22.55,4.0,https://www.cardekho.com/used-car-details/used-Maruti-xl6-alpha-plus-cars-Gurgaon_d7f4a336-bdc9-4734-bfb5-f77a090b4580.htm,Good,37,9000,767644.0,1688.82,943579.0
DW-005263,Toyota,Innova,2009,400000.0,Manual,160000.0,Diesel,Amravati,18,8889.0,2.5,-20.0,https://www.cardekho.com/used-car-details/used-Toyota-innova-25-v-diesel-7-seater-cars-Amravati_d59e3252-41ab-408c-936f-f873e0056e29.htm,Fair,57,22000,272445.0,599.38,400000.0
DW-002115,Mercedes-Benz,AMG A 35,2022,4700000.0,Automatic,13100.0,Petrol,Chennai,5,2620.0,358.78,18.2,https://www.cardekho.com/used-car-details/used-Mercedes-benz-amg-a-35-4matic-bsvi-cars-Chennai_20d4a8e9-e656-44c0-9134-da2b9c630e1b.htm,Good,39,9000,3535371.0,7777.82,4700000.0
DW-007470,Kia,Sonet,2023,900000.0,Manual,20000.0,Petrol,Amritsar,4,5000.0,45.0,3.2,https://www.cardekho.com/used-car-details/used-Kia-sonet-htk-plus-bsvi-cars-Amritsar_ef3e73c5-69e5-4a65-be8a-65f0bd13f98a.htm,Excellent,31,3000,650808.0,1431.78,900000.0
DW-004769,Kia,Seltos,2023,1130000.0,Manual,80000.0,Petrol,Khandwa,4,20000.0,14.12,2.7,https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-plus-cars-Khandwa_5904048a-b565-4351-b8c6-159d90dea4fe.htm,Fair,37,22000,848239.0,1866.13,1130000.0
DW-008687,Ford,Fiesta Classic,2012,260000.0,Manual,93000.0,Diesel,Hassan,15,6200.0,2.8,0.0,https://www.cardekho.com/used-car-details/used-Ford-fiesta-classic-14-duratorq-lxi-cars-Hassan_6cba052d-4581-471b-bd02-a40bd20797f1.htm,Fair,44,22000,175290.0,385.64,260000.0
DW-007200,Mahindra,XUV700,2023,1500000.0,Manual,140000.0,Diesel,Aurangabad,4,35000.0,10.71,-14.3,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax5-7-str-diesel-bsvi-cars-Aurangabad_1747d2a5-0e92-4c5d-a3be-bd40ae906dd6.htm,Poor,60,45000,1059209.0,2330.26,1500000.0
DW-002139,MG,Hector Plus,2020,1375000.0,Manual,98000.0,Diesel,Chennai,7,14000.0,14.03,5.7,https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-diesel-mt-cars-Chennai_c1dd9a47-932d-46d9-b5cb-7557185f5dd3.htm,Good,57,9000,1108555.0,2438.82,1375000.0
DW-009839,Toyota,Glanza,2023,640000.0,Automatic,72000.0,Petrol,New Delhi,4,18000.0,8.89,0.0,https://www.cardekho.com/used-car-details/used-Toyota-glanza-v-amt-cars-New-Delhi_91eda2ad-30f3-4827-93b1-d1af5378ddca.htm?adId=29571&adType=41,Fair,44,22000,456129.0,1003.48,640000.0
DW-004804,Renault,KWID,2018,270000.0,Manual,77000.0,Petrol,Ujjain,9,8556.0,3.51,3.8,https://www.cardekho.com/used-car-details/used-Renault-kwid-10-rxt-cars-Ujjain_24d23b34-3bbe-4dfd-b4c1-0ce3afd1cfb0.htm,Fair,44,22000,178049.0,391.71,270000.0
DW-007079,Renault,KWID,2021,355000.0,Manual,40000.0,Petrol,Varanasi,6,6667.0,8.88,36.5,https://www.cardekho.com/used-car-details/used-Renault-kwid-climber-10-mt-opt-cars-Varanasi_ef12803e-b819-4b50-ac65-c053102b216c.htm,Good,65,9000,246470.0,542.23,355000.0
DW-006628,Ford,Ecosport,2014,540000.0,Manual,49000.0,Diesel,Nashik,13,3769.0,11.02,16.4,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-dv5-mt-titanium-cars-Nashik_3d248f1b-be38-43cd-801b-427e260884b2.htm,Fair,52,22000,391545.0,861.4,540000.0
DW-009458,Skoda,Kylaq,2026,1250000.0,Automatic,10000.0,Petrol,Mysore,1,10000.0,125.0,19.0,https://www.cardekho.com/used-car-details/used-Skoda-kylaq-prestige-at-cars-Mysore_a28bf6a1-21bc-4a33-9bb1-7af8f42165f4.htm,Good,35,9000,922806.0,2030.17,1250000.0
DW-000711,Ford,Figo,2020,375000.0,Manual,44000.0,Petrol,New Delhi,7,6286.0,8.52,50.0,https://www.cardekho.com/used-car-details/used-Ford-figo-titanium-blu-bsiv-cars-New-Delhi_6a753285-a0a5-480b-bff4-0db5c2ce6264.htm?adId=34805&adType=41,Good,79,9000,274272.0,603.4,375000.0
DW-003718,Ford,Aspire,2020,495000.0,Manual,100000.0,Petrol,Lucknow,7,14286.0,4.95,37.5,https://www.cardekho.com/used-car-details/used-Ford-aspire-titanium-plus-bsiv-cars-Lucknow_af2467dd-8ceb-4902-be82-24c824c93f7c.htm,Good,88,9000,355023.0,781.05,495000.0
