feature,importance,importance_pct,rank
brand_Mercedes-Benz,0.15423748,15.42,1
brand_BMW,0.12905483,12.91,2
transmission_Automatic,0.11500055,11.5,3
brand_Lexus,0.08923374,8.92,4
transmission_Manual,0.08377674,8.38,5
brand_Audi,0.058568068,5.86,6
brand_Volvo,0.051534176,5.15,7
brand_Toyota,0.03390515,3.39,8
brand_Porsche,0.02956201,2.96,9
model_freq,0.025460433,2.55,10
year,0.024499545,2.45,11
brand_Maruti Suzuki,0.023534652,2.35,12
brand_Ford,0.019968193,2.0,13
car_age,0.014824593,1.48,14
brand_Tata,0.013539304,1.35,15
fuel_type_Diesel,0.012392684,1.24,16
fuel_type_Electric,0.012201431,1.22,17
brand_Nissan,0.011272709,1.13,18
brand_Land Rover,0.01009201,1.01,19
brand_Hyundai,0.009547131,0.95,20
brand_Jeep,0.009527787,0.95,21
brand_Renault,0.008679217,0.87,22
city_freq,0.0065433015,0.65,23
brand_MG,0.00639579,0.64,24
fuel_type_Petrol,0.0059193117,0.59,25
mileage_km,0.005204388,0.52,26
brand_Honda,0.005092202,0.51,27
brand_Kia,0.004183618,0.42,28
brand_Mahindra,0.0039530993,0.4,29
brand_Skoda,0.0035834666,0.36,30
mileage_per_year,0.003430278,0.34,31
brand_Jaguar,0.0029052459,0.29,32
brand_Volkswagen,0.002797034,0.28,33
brand_Datsun,0.0023989878,0.24,34
brand_Mini,0.0022940522,0.23,35
brand_Citroen,0.002200493,0.22,36
fuel_type_CNG,0.0016328928,0.16,37
brand_Fiat,0.0006081139,0.06,38
brand_Isuzu,0.00034946238,0.03,39
brand_Chevrolet,9.593772e-05,0.01,40
fuel_type_LPG,0.0,0.0,41
