listing_id,brand,model,year,price_inr,transmission,mileage_km,fuel_type,city,car_age,mileage_per_year,price_per_km,price_vs_model_median_pct,source_url
DW-000001,BMW,M2,2026,10700000.0,Automatic,5800.0,Petrol,Delhi,1,5800.0,1844.83,0.0,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000002,Mahindra,XUV500,2016,550000.0,Manual,60000.0,Diesel,Delhi,11,5455.0,9.17,-18.5,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000003,Maruti Suzuki,Suzuki Ignis,2022,465000.0,Manual,60375.0,Petrol,Delhi,5,12075.0,7.7,14.1,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000004,Jeep,Compass,2021,1248000.0,Automatic,62000.0,Petrol,Delhi,6,10333.0,20.13,28.0,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000005,Tata,Punch EV,2025,978000.0,Automatic,13359.0,Electric,Delhi,2,6680.0,73.21,0.0,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000006,Mercedes-Benz,GLC,2017,1750000.0,Automatic,69000.0,Diesel,Delhi,10,6900.0,25.36,-60.2,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000007,Tata,Tiago,2019,313000.0,Manual,30000.0,Petrol,Delhi,8,3750.0,10.43,-20.8,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000008,Honda,Amaze,2019,470000.0,Manual,60000.0,Petrol,Delhi,8,7500.0,7.83,4.4,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000009,Kia,Sonet,2021,625000.0,Manual,60000.0,Petrol,Delhi,6,10000.0,10.42,-28.4,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000010,Audi,Q5,2020,3400000.0,Automatic,43000.0,Diesel,Delhi,7,6143.0,79.07,13.7,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000011,Hyundai,i20,2018,491000.0,Manual,47946.0,Petrol,Delhi,9,5327.0,10.24,5.3,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000012,Kia,Seltos,2022,1013000.0,Manual,55771.0,Petrol,Delhi,5,11154.0,18.16,-7.9,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000013,Ford,Freestyle,2019,410000.0,Manual,44924.0,Petrol,Delhi,8,5616.0,9.13,-7.3,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000014,Audi,S5 Sportback,2023,5300000.0,Automatic,39000.0,Petrol,Delhi,4,9750.0,135.9,0.0,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000015,Mahindra,KUV 100,2017,281000.0,Manual,14140.0,Petrol,Delhi,10,1414.0,19.87,-1.6,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000016,Hyundai,i20,2015,309000.0,Manual,63153.0,Petrol,Delhi,12,5263.0,4.89,-33.7,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
DW-000017,Honda,Jazz,2018,364000.0,Manual,78346.0,Petrol,Delhi,9,8705.0,4.65,-14.4,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
