dii_decile,n_vehicles,avg_dii,avg_profit,avg_roi_pct,avg_dom,avg_risk,avg_acquisition_cost,avg_resale_price
D10,150,21.9,39236.0,6.3,78.3,74.0,817268.0,1018084.0
D9,151,34.3,81085.0,12.0,63.9,59.5,880234.0,1110277.0
D8,150,40.9,146427.0,14.8,57.3,58.1,1244975.0,1585721.0
D7,151,45.6,158150.0,17.7,50.9,51.1,954462.0,1252715.0
D6,151,49.9,176995.0,20.1,45.0,51.7,941571.0,1243106.0
D5,147,53.5,182030.0,22.4,38.4,50.5,868419.0,1151051.0
D4,155,57.0,183397.0,24.5,35.5,44.0,817502.0,1087380.0
D3,147,60.5,187955.0,26.5,34.0,39.8,763704.0,1022940.0
D2,149,65.2,267272.0,29.8,28.8,41.9,914500.0,1252387.0
D1,149,71.7,262577.0,33.2,24.6,29.5,788851.0,1103360.0
