brand,model,year,price_inr,mileage_km,transmission,fuel_type,city,source_url
BMW,M2,2026,10700000.0,5800.0,Automatic,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Mahindra,XUV500,2016,550000.0,60000.0,Manual,Diesel,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Maruti,Suzuki Ignis,2022,465000.00000000006,60375.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Jeep,Compass,2021,1248000.0,62000.0,Automatic,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Tata,Punch EV,2025,977999.9999999999,13359.0,Automatic,Electric,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Mercedes-Benz,GLC,2017,1750000.0,69000.0,Automatic,Diesel,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Tata,Tiago,2019,313000.0,30000.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Honda,Amaze,2019,470000.0,60000.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Kia,Sonet,2021,625000.0,60000.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Audi,Q5,2020,3400000.0,43000.0,Automatic,Diesel,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Hyundai,i20,2018,491000.0,47946.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Kia,Seltos,2022,1013000.0000000001,55771.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Ford,Freestyle,2019,409999.99999999994,44924.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Audi,S5 Sportback,2023,5300000.0,39000.0,Automatic,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Mahindra,KUV 100,2017,281000.0,14140.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Hyundai,i20,2015,309000.0,63153.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Honda,Jazz,2018,364000.0,78346.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Volkswagen,Virtus,2024,1200000.0,20000.0,Automatic,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Hyundai,Xcent,2018,325000.0,82443.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Maruti,Suzuki Brezza,2022,682000.0,57699.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=1
Hyundai,Xcent,2015,264000.0,76334.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=3
Honda,City,2017,550000.0,39788.0,Automatic,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=3
Honda,City,2016,393000.0,80365.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=3
Maruti,Suzuki Dzire,2018,405000.0,41042.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=3
Honda,City,2018,475000.0,62603.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=3
Tata,Nexon,2022,634000.0,62718.0,Automatic,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=3
Maruti,Suzuki Wagon R,2023,512000.0,20272.0,Manual,CNG,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=10
Tata,Tiago,2018,375000.0,19000.0,Automatic,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=11
Datsun,RediGO,2018,156000.0,33085.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=11
Hyundai,Grand i10 Nios,2024,664000.0,21164.0,Manual,CNG,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=11
Hyundai,Venue,2024,791000.0,20445.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=11
Renault,KWID,2022,377000.0,21238.0,Automatic,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=11
Hyundai,Grand i10,2016,315000.0,54780.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=11
Honda,Elevate,2023,1264000.0,24163.0,Automatic,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=11
Maruti,Suzuki Swift,2020,479000.0,34412.0,Manual,Petrol,delhi,https://www.cardekho.com/used-cars+in+delhi?pageNo=11
